fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude,law_type,ipc_final,hour,day_of_week,age_group
fir/pun/2015/4628,2015-05-05 16:56:00,2015,Pune,Maharashtra,VEHICLE THEFT,two wheeler,IPC 379,street,25,54,male,False,charge sheeted,low,18.60200714359363,73.96319643783255,IPC,IPC 379,16,Tuesday,51-65
FIR/AHM/2021/2730,2021-02-08 13:57:00,2021,Ahmedabad,Gujarat,VEHICLE THEFT,car theft,ipc 379,market,23,63,male,False,closed,low,23.15759482693704,72.71380978064603,IPC,IPC 379,13,Monday,51-65
PUN-2017-4991,2017-10-14 16:19:00,2017,Pune,Maharashtra,COUNTERFEITING,fake currency,489A IPC,residence,18,58,male,False,under investigation,low,18.42500235771025,73.79340914389542,IPC,IPC 489,16,Saturday,51-65
FIR/MUM/2017/9525,2017-08-13 13:11:00,2017,Mumbai,Maharashtra,FRAUD/CHEATING,upi fraud,IPC-420,atm,8,26,female,True,pending trial,low,19.07057478382733,72.94974023822586,IPC,IPC 420,13,Sunday,26-35
FIR92792023,2023-10-28 23:58:00,2023,Mumbai,Maharashtra,KIDNAPPING,abduction for ransom,IPC 363,school,20,7,male,False,under investigation,high,18.92708741000784,72.8587273216156,IPC,IPC 363,23,Saturday,Under 18
CHE-2021-6871,2021-03-30 14:17:00,2021,Chennai,Tamil Nadu,BURGLARY,house breaking,ipc 457,school,29,18,female,False,under investigation,medium,13.179258873319258,80.21710970105929,IPC,IPC 457,14,Tuesday,Under 18
7127/2016,2016-07-27 01:54:00,2016,Chennai,Tamil Nadu,MURDER,culpable homicide,IPC-302,residence,46,17,female,True,convicted,high,13.091333629056932,80.2648264114663,IPC,IPC 302,1,Wednesday,Under 18
KOL-2022-1366,2022-01-01 00:00:00,2022,Kolkata,West Bengal,KIDNAPPING,child kidnapping,IPC 363,atm,27,59,male,True,closed,high,22.515104822958342,88.42337249454064,IPC,IPC 363,0,Saturday,51-65
7322/2019,2019-02-26 17:34:00,2019,Mumbai,Maharashtra,COUNTERFEITING,fake currency,IPC 489A,street,35,15,unknown,False,closed,low,18.99898758631044,72.97135669575704,IPC,IPC 489,17,Tuesday,Under 18
FIR/DEL/2017/9390,2017-01-01 00:00:00,2017,Delhi,Delhi,DRUG OFFENSE,trafficking,ndps act,market,25,44,female,False,closed,low,28.69067610277117,77.0911808000662,NDPS,NDPS,0,Sunday,36-50
FIR48192019,2019-02-15 00:00:00,2019,Chandigarh,Punjab,EXTORTION,online extortion,IPC 383,bank,9,46,unknown,True,charge sheeted,medium,30.863110165154037,76.80463343131444,IPC,IPC 383,0,Friday,36-50
BAN-2016-6026,2016-04-05 07:14:00,2016,Bangalore,Karnataka,CYBER CRIME,identity theft,IT Act 66,residence,25,48,unknown,False,pending trial,low,12.950181220944785,77.66330726425043,IT,IT 66,7,Tuesday,36-50
1297/2022,2022-06-15 14:28:00,2022,Bangalore,Karnataka,HUMAN TRAFFICKING,labour trafficking,IPC 370,residence,46,31,unknown,False,acquitted,high,13.037907647920209,77.45959932058734,IPC,IPC 370,14,Wednesday,26-35
FIR93542022,2022-01-27 07:08:00,2022,Chandigarh,Punjab,CYBER CRIME,phishing,IT Act 66,unknown,40,34,female,False,closed,low,30.80058089023745,76.90845161006106,IT,IT 66,7,Thursday,26-35
FIR/PAT/2015/4195,2015-04-04 00:00:00,2015,Patna,Bihar,THEFT,mobile theft,Sec 378,highway,43,10,male,False,acquitted,low,25.479959225563924,85.21458901182037,IPC,IPC 378,0,Saturday,Under 18
fir/hyd/2022/3038,2022-01-01 00:00:00,2022,Hyderabad,Telangana,BURGLARY,night burglary,Sec. 457,residence,15,66,female,False,under investigation,medium,17.303284739778228,78.48530686222183,IPC,IPC 457,0,Saturday,65+
KOL-2018-3731,2018-05-01 00:00:00,2018,Kolkata,West Bengal,BURGLARY,house breaking,ipc 457,railway station,36,15,male,False,charge sheeted,medium,22.487979069039657,88.4834746041215,IPC,IPC 457,0,Tuesday,Under 18
8047/2020,2020-01-03 21:59:00,2020,Chennai,Tamil Nadu,THEFT,pickpocketing,IPC 378,school,10,8,unknown,True,pending trial,low,13.19180466785222,80.23498942876675,IPC,IPC 378,21,Friday,Under 18
FIR74692023,2023-08-16 07:25:00,2023,Delhi,Delhi,VEHICLE THEFT,two wheeler,379 IPC,residence,37,13,female,True,closed,low,28.653846285473037,76.96443294259231,IPC,IPC 379,7,Wednesday,Under 18
HYD-2015-3746,2015-09-18 06:29:00,2015,Hyderabad,Telangana,MURDER,premeditated,IPC-302,highway,39,57,male,False,pending trial,high,17.354174104581478,78.56090458574246,IPC,IPC 302,6,Friday,51-65
6522/2018,2018-03-27 01:40:00,2018,Bhopal,Madhya Pradesh,THEFT,pickpocketing,IPC-378,office,9,20,unknown,False,under investigation,low,23.406617300531583,77.5594986747218,IPC,IPC 378,1,Tuesday,18-25
5572/2016,2016-04-25 13:38:00,2016,Chandigarh,Punjab,THEFT,pickpocketing,378,unknown,14,57,male,False,charge sheeted,low,30.64974371191793,76.69653901171803,IPC,IPC 378,13,Monday,51-65
FIR19492022,2022-01-15 12:17:00,2022,Delhi,Delhi,THEFT,pickpocketing,ipc 378,residence,16,49,female,False,acquitted,low,28.608247811971456,77.23243711496492,IPC,IPC 378,12,Saturday,36-50
fir/kan/2016/2368,2016-10-25 01:11:00,2016,Kanpur,Uttar Pradesh,THEFT,shoplifting,Sec 378,school,33,5,unknown,False,charge sheeted,low,26.515102104619324,80.22415919835024,IPC,IPC 378,1,Tuesday,Under 18
fir/bhu/2018/4803,2018-07-18 00:00:00,2018,Bhubaneswar,Odisha,THEFT,mobile theft,378,highway,7,66,female,True,acquitted,low,20.232240635238977,85.69940790488825,IPC,IPC 378,0,Wednesday,65+
FIR/JAI/2022/9325,2022-07-05 05:05:00,2022,Jaipur,Rajasthan,VEHICLE THEFT,two wheeler,379 IPC,school,18,79,female,False,charge sheeted,low,26.97646142946671,75.79391376463066,IPC,IPC 379,5,Tuesday,65+
PAT-2016-7301,2016-03-09 03:39:00,2016,Patna,Bihar,THEFT,pickpocketing,IPC 378,residence,21,45,female,False,closed,low,25.60225107872263,85.19661289955154,IPC,IPC 378,3,Wednesday,36-50
fir/kol/2020/1008,2020-11-01 08:59:00,2020,Kolkata,West Bengal,DRUG OFFENSE,trafficking,NDPS ACT Sec 8,residence,25,43,unknown,False,closed,low,22.562681776203444,88.2432543322121,NDPS,NDPS 8,8,Sunday,36-50
AHM-2023-3521,2023-11-12 23:55:00,2023,Ahmedabad,Gujarat,ASSAULT,road rage,ipc 351,street,30,71,female,False,charge sheeted,medium,23.066978465789685,72.57785540782324,IPC,IPC 351,23,Sunday,65+
HYD-2021-4921,2021-06-28 11:35:00,2021,Hyderabad,Telangana,THEFT,chain snatching,378 IPC,school,35,78,male,False,charge sheeted,low,17.37773179348815,78.34436334455442,IPC,IPC 378,11,Monday,65+
KOL-2020-9171,2020-03-04 00:00:00,2020,Kolkata,West Bengal,DACOITY,armed dacoity,IPC 395,bank,11,5,female,False,closed,high,22.537850037909763,88.46678034788077,IPC,IPC 395,0,Wednesday,Under 18
fir/ban/2018/9303,2018-04-08 12:37:00,2018,Bangalore,Karnataka,CYBER CRIME,phishing,it act 66,market,8,73,unknown,True,pending trial,low,12.93322528320694,77.73567079867063,IT,IT 66,12,Sunday,65+
fir/ban/2015/2458,2015-10-09 13:55:00,2015,Bangalore,Karnataka,THEFT,shoplifting,ipc 378,bank,40,49,male,False,closed,low,13.012673525953886,77.60474261962335,IPC,IPC 378,13,Friday,36-50
FIR63692021,2021-12-18 14:44:00,2021,Delhi,Delhi,ROBBERY,armed robbery,392 IPC,market,38,71,unknown,True,pending trial,high,28.79153855874673,76.95661398673681,IPC,IPC 392,14,Saturday,65+
