fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude
fir/pun/2015/4628,05 May 2015 04:56 PM,2015,Pune,Maharashtra,VEHICLE THEFT,Two Wheeler,IPC 379,Street,,54.0,Male,,CHARGE SHEETED,Low,18.60200714359363,73.96319643783255
FIR/AHM/2021/2730,08/02/2021 13:57:00,2021,Ahmedabad,Gujarat,VEHICLE THEFT,Car Theft,ipc 379,MARKET,23.0,63.0,MALE,No,Closed,Low,23.157594826937036,72.71380978064603
PUN-2017-4991,14/10/2017 16:19:00,2017,Pune,Maharashtra,COUNTERFEITING,fake currency,489A IPC,Residence,18.0,58.0,Male,no,Under Investigation,Low,18.425002357710255,73.79340914389542
FIR/MUM/2017/9525,13/08/17 13:11,2017,Mumbai,Maharashtra,FRAUD/CHEATING,UPI Fraud,IPC-420,ATM,8.0,26.0,FEMALE,yes,Pending Trial,Low,19.07057478382733,72.94974023822586
FIR92792023,28/10/2023 23:58:00,2023,Mumbai,Maharashtra,KIDNAPPING,Abduction for Ransom,IPC 363,SCHOOL,20.0,7.0,m,,under investigation,High,18.92708741000784,72.8587273216156
7012/2019,18 November 2019 05:58 AM,2019,Mumbai,Maharashtra,DRUG OFFENSE,Peddling,NDPS Act,,,47.0,Male,YES,Acquitted,LOW,,
CHE-2021-6871,30/03/2021 14:17:00,2021,Chennai,Tamil Nadu,BURGLARY,house breaking,ipc 457,SCHOOL,29.0,18.0,FEMALE,NO,Under Investigation,Medium,13.179258873319258,80.21710970105929
7127/2016,27/07/2016 01:54:00,2016,Chennai,Tamil Nadu,MURDER,Culpable Homicide,IPC-302,RESIDENCE,46.0,17.0,female,YES,Convicted,High,13.091333629056933,80.2648264114663
KOL-2022-1366,1655252280,2022,Kolkata,West Bengal,KIDNAPPING,Child Kidnapping,IPC 363,ATM,27.0,59.0,m,Yes,closed,High,22.515104822958342,88.42337249454064
7322/2019,02/26/2019 17:34:00,2019,Mumbai,Maharashtra,COUNTERFEITING,fake currency,IPC 489A,street,35.0,15.0,,No,Closed,Low,18.99898758631044,72.97135669575704
